iteration,pop_best_eval,mean_eval,median_eval,best_eval,worst_eval,total_interaction_count,total_episode_count
169,255.1259307861328,-33.07976531982422,-47.21834182739258,296.04144287109375,-5732.35791015625,2375586,25619
170,253.46189880371094,-53.838829040527344,-60.17000198364258,296.04144287109375,-5732.35791015625,2389083,25770
171,276.186767578125,-41.12748718261719,-63.55345153808594,296.04144287109375,-5732.35791015625,2402745,25921
172,257.258544921875,-48.38668441772461,-61.155426025390625,296.04144287109375,-5732.35791015625,2416710,26072
173,290.6405334472656,-45.37831115722656,-56.592041015625,296.04144287109375,-5732.35791015625,2430736,26223
174,280.9811096191406,-21.036897659301758,-39.848934173583984,296.04144287109375,-5732.35791015625,2445063,26374
175,280.9259033203125,-37.09489059448242,-56.0294075012207,296.04144287109375,-5732.35791015625,2459546,26525
176,268.2923889160156,-42.281063079833984,-59.019378662109375,296.04144287109375,-5732.35791015625,2473809,26676
177,265.2491149902344,-42.92442321777344,-55.73004150390625,296.04144287109375,-5732.35791015625,2487668,26827
178,282.6103820800781,-27.14313507080078,-56.99725341796875,296.04144287109375,-5732.35791015625,2502442,26978
179,283.0519104003906,-50.02052688598633,-74.65715789794922,296.04144287109375,-5732.35791015625,2515816,27129
180,263.47607421875,-41.1302604675293,-62.5478401184082,296.04144287109375,-5732.35791015625,2530104,27280
181,282.8412170410156,-12.411038398742676,-32.58230972290039,296.04144287109375,-5732.35791015625,2545298,27431
182,280.5401916503906,-28.473190307617188,-51.480525970458984,296.04144287109375,-5732.35791015625,2559147,27582
183,286.41571044921875,-27.731124877929688,-44.38386917114258,296.04144287109375,-5732.35791015625,2572842,27733
184,284.6924133300781,-33.10060501098633,-56.520416259765625,296.04144287109375,-5732.35791015625,2586409,27884
185,252.44309997558594,-31.436861038208008,-43.32251739501953,296.04144287109375,-5732.35791015625,2600118,28035
186,242.56716918945312,-39.918365478515625,-56.08445739746094,296.04144287109375,-5732.35791015625,2614757,28186
187,289.0240173339844,-43.26126480102539,-67.42457580566406,296.04144287109375,-5732.35791015625,2629433,28337
188,257.08258056640625,-32.0550651550293,-58.01375198364258,296.04144287109375,-5732.35791015625,2644716,28488
189,277.5511169433594,-4.238156318664551,-43.67864990234375,296.04144287109375,-5732.35791015625,2662841,28639
190,286.6972961425781,-14.715845108032227,-54.98200607299805,296.04144287109375,-5732.35791015625,2679723,28790
191,282.3000793457031,-15.8923978805542,-33.52946090698242,296.04144287109375,-5732.35791015625,2695736,28941
192,272.078857421875,-16.711767196655273,-51.43120574951172,296.04144287109375,-5732.35791015625,2711048,29092
193,267.9600524902344,-3.2110581398010254,-35.19111251831055,296.04144287109375,-5732.35791015625,2726655,29243
194,283.2513122558594,-14.086430549621582,-37.918033599853516,296.04144287109375,-5732.35791015625,2743001,29394
195,294.935546875,-2.329725980758667,-29.097200393676758,296.04144287109375,-5732.35791015625,2759337,29545
196,263.30584716796875,-8.013754844665527,-33.836307525634766,296.04144287109375,-5732.35791015625,2775328,29696
197,289.2911682128906,-27.82561683654785,-53.74911880493164,296.04144287109375,-5732.35791015625,2791248,29847
198,265.1545104980469,-19.75400733947754,-40.84269714355469,296.04144287109375,-5732.35791015625,2806692,29998
199,279.2650146484375,-27.031763076782227,-52.01143264770508,296.04144287109375,-5732.35791015625,2821982,30149
200,272.6668395996094,-14.75943374633789,-39.95686340332031,296.04144287109375,-5732.35791015625,2838350,30300
201,285.9888916015625,-29.609968185424805,-49.31171417236328,296.04144287109375,-5732.35791015625,2853982,30451
202,277.7290344238281,-21.774517059326172,-50.049461364746094,296.04144287109375,-5732.35791015625,2869806,30602
203,263.7665100097656,-8.045876502990723,-37.851810455322266,296.04144287109375,-5732.35791015625,2885897,30753
204,277.170166015625,-1.3909213542938232,-36.1403694152832,296.04144287109375,-5732.35791015625,2903372,30904
205,267.1234436035156,-25.726625442504883,-48.40681076049805,296.04144287109375,-5732.35791015625,2920788,31055
206,284.79046630859375,-24.142728805541992,-45.61827087402344,296.04144287109375,-5732.35791015625,2936536,31206
207,276.04736328125,-10.215004920959473,-39.551273345947266,296.04144287109375,-5732.35791015625,2953070,31357
208,293.94561767578125,-7.923658847808838,-37.17417526245117,296.04144287109375,-5732.35791015625,2971315,31508
209,271.6113586425781,-14.231293678283691,-42.735504150390625,296.04144287109375,-5732.35791015625,2987961,31659
210,296.2850646972656,-6.550020694732666,-42.90250778198242,296.2850646972656,-5732.35791015625,3004458,31810
211,292.9784240722656,-3.5460119247436523,-31.50678825378418,296.2850646972656,-5732.35791015625,3020610,31961
212,273.5228576660156,-24.28588104248047,-46.60594940185547,296.2850646972656,-5732.35791015625,3034582,32112
213,267.007568359375,6.242510795593262,-26.73754119873047,296.2850646972656,-5732.35791015625,3050880,32263
214,280.5249328613281,-9.288971900939941,-43.29496383666992,296.2850646972656,-5732.35791015625,3066480,32414
215,278.68115234375,-3.853046178817749,-25.187984466552734,296.2850646972656,-5732.35791015625,3081980,32565
216,277.451416015625,-31.00713539123535,-41.84794998168945,296.2850646972656,-5732.35791015625,3096316,32716
217,267.3517150878906,-28.94266128540039,-41.93895721435547,296.2850646972656,-5732.35791015625,3109851,32867
218,272.2203063964844,-13.706406593322754,-37.718528747558594,296.2850646972656,-5732.35791015625,3124620,33018
219,275.4125061035156,-14.146317481994629,-46.245304107666016,296.2850646972656,-5732.35791015625,3139855,33169
220,259.5020751953125,-39.86198425292969,-57.21179962158203,296.2850646972656,-5732.35791015625,3153953,33320
221,281.40374755859375,-23.045429229736328,-46.39321517944336,296.2850646972656,-5732.35791015625,3168727,33471
222,282.225830078125,-11.425579071044922,-38.070587158203125,296.2850646972656,-5732.35791015625,3184810,33622
223,268.7428894042969,-20.81403160095215,-40.72085952758789,296.2850646972656,-5732.35791015625,3199266,33773
224,270.69091796875,7.884471416473389,-14.428921699523926,296.2850646972656,-5732.35791015625,3214878,33924
225,286.6337585449219,4.904078960418701,-27.04483413696289,296.2850646972656,-5732.35791015625,3230747,34075
226,281.47039794921875,8.015386581420898,-28.250457763671875,296.2850646972656,-5732.35791015625,3247614,34226
227,274.2418518066406,-6.584872245788574,-41.90983581542969,296.2850646972656,-5732.35791015625,3263357,34377
228,299.5697326660156,-10.071324348449707,-35.15027618408203,299.5697326660156,-5732.35791015625,3278733,34528
229,281.9093933105469,0.0051263426430523396,-39.452213287353516,299.5697326660156,-5732.35791015625,3295002,34679
230,286.4018859863281,1.1787348985671997,-34.35188674926758,299.5697326660156,-5732.35791015625,3312558,34830
231,280.2940673828125,-2.711939811706543,-43.52911376953125,299.5697326660156,-5732.35791015625,3329139,34981
232,265.36151123046875,-24.755451202392578,-51.580684661865234,299.5697326660156,-5732.35791015625,3344196,35132
233,273.7870788574219,11.148092269897461,-28.199918746948242,299.5697326660156,-5732.35791015625,3362886,35283
234,316.6666564941406,18.42860984802246,-8.376532554626465,316.6666564941406,-5732.35791015625,3380149,35434
235,277.2886657714844,24.9465274810791,-13.398038864135742,316.6666564941406,-5732.35791015625,3398425,35585
236,271.5408630371094,5.302463531494141,-24.119773864746094,316.6666564941406,-5732.35791015625,3415234,35736
237,276.812255859375,-5.035590171813965,-29.879005432128906,316.6666564941406,-5732.35791015625,3431725,35887
238,288.0657653808594,16.1859188079834,-19.547832489013672,316.6666564941406,-5732.35791015625,3449512,36038
239,290.3440856933594,23.520994186401367,-22.364229202270508,316.6666564941406,-5732.35791015625,3465476,36189
240,276.5816955566406,-7.311793327331543,-29.479665756225586,316.6666564941406,-5732.35791015625,3480606,36340
241,278.4261169433594,13.524781227111816,-24.800338745117188,316.6666564941406,-5732.35791015625,3497001,36491
242,283.30767822265625,18.691055297851562,-20.813657760620117,316.6666564941406,-5732.35791015625,3512836,36642
243,283.09991455078125,-10.028278350830078,-50.03328323364258,316.6666564941406,-5732.35791015625,3528862,36793
244,277.92584228515625,-6.328101634979248,-49.11256408691406,316.6666564941406,-5732.35791015625,3547058,36944
245,274.0414123535156,23.002111434936523,-23.299156188964844,316.6666564941406,-5732.35791015625,3565423,37095
246,277.94091796875,26.93832778930664,-17.950475692749023,316.6666564941406,-5732.35791015625,3585541,37246
247,287.11346435546875,21.399396896362305,-24.466285705566406,316.6666564941406,-5732.35791015625,3602948,37397
248,287.1996154785156,18.46969223022461,-20.270578384399414,316.6666564941406,-5732.35791015625,3621631,37548
249,289.93817138671875,17.02432632446289,-28.73259735107422,316.6666564941406,-5732.35791015625,3639873,37699
250,279.6551513671875,64.7363510131836,-1.4576455354690552,316.6666564941406,-5732.35791015625,3659658,37850
251,290.13519287109375,42.96543884277344,-16.73824691772461,316.6666564941406,-5732.35791015625,3679409,38001
252,285.82513427734375,27.520030975341797,-30.92856216430664,316.6666564941406,-5732.35791015625,3699474,38152
253,302.2677917480469,66.68292236328125,-1.1571887731552124,316.6666564941406,-5732.35791015625,3721004,38303
254,284.7198181152344,40.92295837402344,-22.169174194335938,316.6666564941406,-5732.35791015625,3739280,38454
255,293.5184326171875,44.86650848388672,-18.350372314453125,316.6666564941406,-5732.35791015625,3759434,38605
256,292.70404052734375,60.9377555847168,-8.230841636657715,316.6666564941406,-5732.35791015625,3779635,38756
257,295.6792297363281,59.48598098754883,-0.8589539527893066,316.6666564941406,-5732.35791015625,3799140,38907
258,294.34063720703125,87.74888610839844,11.864007949829102,316.6666564941406,-5732.35791015625,3819928,39058
259,290.2286071777344,62.879608154296875,1.0482960939407349,316.6666564941406,-5732.35791015625,3839307,39209
260,287.75872802734375,30.041759490966797,-14.083916664123535,316.6666564941406,-5732.35791015625,3856530,39360
261,275.5357971191406,48.5673713684082,-0.34661009907722473,316.6666564941406,-5732.35791015625,3874827,39511
262,283.26849365234375,37.7320556640625,-21.12623405456543,316.6666564941406,-5732.35791015625,3894235,39662
263,287.8455810546875,33.517616271972656,-12.128389358520508,316.6666564941406,-5732.35791015625,3912532,39813
264,319.102783203125,35.89662551879883,-20.658641815185547,319.102783203125,-5732.35791015625,3931182,39964
265,283.36907958984375,38.12920379638672,-16.111291885375977,319.102783203125,-5732.35791015625,3949604,40115
266,313.1368103027344,67.85147094726562,6.626406669616699,319.102783203125,-5732.35791015625,3970428,40266
267,281.9330139160156,53.49142074584961,-10.388381004333496,319.102783203125,-5732.35791015625,3989097,40417
268,291.07305908203125,53.7354736328125,-9.14979362487793,319.102783203125,-5732.35791015625,4009743,40568
269,283.6063232421875,31.272886276245117,-16.642253875732422,319.102783203125,-5732.35791015625,4029920,40719
